[15 | 89.30] loss=3.70 avg=2.90 [16 | 95.25] loss=2.88 avg=2.89
[17 | 101.18] loss=2.82 avg=2.89
[18 | 106.97] loss=3.41 avg=2.92
[19 | 112.76] loss=2.75 avg=2.91
[20 | 118.57] loss=3.92 avg=2.97
[21 | 124.42] loss=3.23 avg=2.98
[22 | 130.42] loss=2.78 avg=2.97
[23 | 136.22] loss=2.84 avg=2.96
[24 | 142.01] loss=3.20 avg=2.98
[25 | 147.98] loss=2.91 avg=2.97
[26 | 153.71] loss=2.72 avg=2.96
[27 | 159.42] loss=2.77 avg=2.95
[28 | 165.25] loss=2.77 avg=2.95
[29 | 171.03] loss=3.06 avg=2.95
[30 | 176.77] loss=3.23 avg=2.96
[31 | 182.55] loss=2.82 avg=2.96
[32 | 188.28] loss=2.76 avg=2.95
[33 | 193.99] loss=3.03 avg=2.95
[34 | 199.73] loss=2.81 avg=2.95
[35 | 205.50] loss=3.25 avg=2.96
[36 | 211.26] loss=1.69 avg=2.92
[37 | 216.98] loss=2.71 avg=2.91
[38 | 222.71] loss=2.76 avg=2.90
[39 | 228.48] loss=2.57 avg=2.89
[40 | 234.23] loss=2.83 avg=2.89
[41 | 240.00] loss=2.20 avg=2.87
[42 | 245.77] loss=3.13 avg=2.88
[43 | 251.51] loss=2.68 avg=2.87
[44 | 257.27] loss=3.62 avg=2.89
[45 | 263.00] loss=2.96 avg=2.90
[46 | 268.75] loss=2.57 avg=2.89
[47 | 274.54] loss=3.19 avg=2.89
[48 | 280.28] loss=2.85 avg=2.89
[49 | 286.01] loss=2.99 avg=2.90
[50 | 291.77] loss=3.01 avg=2.90
[51 | 297.53] loss=2.89 avg=2.90
[52 | 303.29] loss=2.91 avg=2.90
[53 | 309.04] loss=3.19 avg=2.91
[54 | 314.87] loss=2.58 avg=2.90
[55 | 320.69] loss=2.79 avg=2.90
[56 | 326.46] loss=2.41 avg=2.88
[57 | 332.24] loss=2.91 avg=2.89
[58 | 338.00] loss=2.91 avg=2.89
[59 | 343.75] loss=3.55 avg=2.90
[60 | 349.54] loss=2.36 avg=2.89
[61 | 355.35] loss=3.00 avg=2.89
[62 | 361.13] loss=2.96 avg=2.89
[63 | 366.94] loss=3.34 avg=2.90
[64 | 372.74] loss=2.62 avg=2.90
[65 | 378.49] loss=2.62 avg=2.89
[66 | 384.25] loss=4.12 avg=2.92
[67 | 390.02] loss=3.22 avg=2.92
[68 | 395.79] loss=2.35 avg=2.91
[69 | 401.56] loss=3.62 avg=2.92
[70 | 407.32] loss=2.98 avg=2.93
[71 | 413.10] loss=2.46 avg=2.92
[72 | 418.84] loss=2.69 avg=2.91
[73 | 424.60] loss=2.87 avg=2.91
[74 | 430.37] loss=2.81 avg=2.91
[75 | 436.10] loss=2.76 avg=2.91
[76 | 441.88] loss=2.93 avg=2.91
[77 | 447.64] loss=2.77 avg=2.90
[78 | 453.40] loss=3.19 avg=2.91
[79 | 459.16] loss=2.87 avg=2.91
[80 | 464.91] loss=3.06 avg=2.91
[81 | 470.68] loss=2.70 avg=2.91
[82 | 476.45] loss=2.74 avg=2.90
[83 | 482.20] loss=3.06 avg=2.91
